What are the NNTs for anticonvulsants in neuropathic pain?	Card 1	(2015-09-30)	Palliative Care SCE
All patients will experience a minor change in sensation after cordotomy on the {{c1::ipsilateral side of the body}}.	Cloze 1	2015-11-14	Palliative Care SCE
In the event of opioid toxicity, a 400mcg naloxone ampoule should be diluted to {{c1::10ml}}, and {{c2::0.5ml/20mcg}} given repeatedly until the patient's respiratory rate is satisfactory	Cloze 1	2015-11-14	Palliative Care SCE
In the event of opioid toxicity, a 400mcg naloxone ampoule should be diluted to {{c1::10ml}}, and {{c2::0.5ml/20mcg}} given repeatedly until the patient's respiratory rate is satisfactory	Cloze 2	2015-11-14	Palliative Care SCE
{{c1::Pleuritic chest pain}} and {{c2::fever}} are the {{c3::most common side effects}} of sclerosant administration.	Cloze 1	2015-11-14	Palliative Care SCE
In Lambert-Eaton syndrome, {{c1::muscle power}} {{c2::improves with repeated testing}}.	Cloze 2	2015-11-14	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6000}} new {{c2::non-Hodgkins lymphoma}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 3	2015-11-14	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6000}} new {{c2::melanoma}} diagnoses {{c3::in women and men}} registered in England, in 2012.	Cloze 1	2015-11-14	Palliative Care SCE
All patients having coeliac plexus blocks require {{c1::IV fluids}} during the procedure, because of the risk of {{c2::hypotension}}.	Cloze 1	2015-11-14	Palliative Care SCE
Which NSAID carries the highest risk of acute myocardial infarction?	Card 1	2015-11-14	Palliative Care SCE
Fluoxetine and paroxetine are hepatic enzyme {{c1::inhibitors}} and will cause {{c3::codeine, dihydrocodine and tramadol}} to have a {{c2::diminished effect}}.	Cloze 2	2015-11-14	Palliative Care SCE
Tramadol can {{c1::lower}} the seizure threshold, especially in combination with {{c2::SSRIs}}, {{c3::TCAs}} or {{c4::antipsychotics}}.	Cloze 3	2015-11-14	Palliative Care SCE
Topical metronidazole can improve odour in about {{c1::50%}} of patients.	Cloze 1	2015-11-14	Palliative Care SCE
{{c1::Vancomycin}} is given for severe C. diff infection.	Cloze 1	2015-11-14	Palliative Care SCE
In {{c1::breast cancer}}, {{c2::zolendronate}}, given monthly for 1 year reduces the risk of a skeletal related event by {{c3::~40%}} when compared with placebo.	Cloze 1	2015-11-14	Palliative Care SCE
The diagnosis of SIADH is based on: {{c1::1. Hyponatraemia <130}} {{c2::2. Low plasma osmolality <270}} {{c3::3. High urine osmolality >20}} {{c4::4. Euvolaemic}}	Cloze 3	2015-11-14	Palliative Care SCE
{{c1::Octreotide}} is recommended first-line for severe {{c2::chemotherapy/radiotherapy-induced}} diarrhoea.	Cloze 1	2015-11-14	Palliative Care SCE
A {{c2::meta-analysis}} on the use of megestrol acetate showed {{c1::poor}} evidence for effect.	Cloze 1	2015-11-14	Palliative Care SCE
A {{c2::meta-analysis}} on the use of megestrol acetate showed {{c1::poor}} evidence for effect.	Cloze 2	2015-11-14	Palliative Care SCE
C fibers are {{c1::unmyelinated}}, have a {{c2::small diameter}} and {{c3::low conduction}} velocity.	Cloze 1	2015-11-14	Palliative Care SCE
A-delta fibers are thinly {{c1::myelinated}} and they send impulses {{c2::faster}} than unmyelinated C fibers.	Cloze 1	2015-11-14	Palliative Care SCE
A-delta fibers are thinly {{c1::myelinated}} and they send impulses {{c2::faster}} than unmyelinated C fibers.	Cloze 2	2015-11-14	Palliative Care SCE
A lidocaine patch will need to be removed before an {{c1::MRI}} scan.	Cloze 1	2015-11-14	Palliative Care SCE
What is the conversion from oral morphine to fentanyl?	Card 1	2015-11-14	Palliative Care SCE
Clonidine is an {{c1::alpha-adrenergic}} receptor agonist.	Cloze 1	2015-11-14	Palliative Care SCE
In drug-induced tardive dyskinesia, what % of patients have complete resolution of symptoms 3 months after stopping the causative drug?	Card 1	2015-11-14	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 2	2015-11-14	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 9	2015-11-14	Palliative Care SCE
Of the risks of suicide in depression, previous {{c1::self harm}} is the most important, followed by a {{c2::family}} history of {{c3::self harm}} or {{c3::suicide}}.	Cloze 3	2015-11-14	Palliative Care SCE
In depression, a recent discharge from {{c1::inpatient psychiatric}} care is a risk for {{c2::suicide}}.	Cloze 1	2015-11-14	Palliative Care SCE
A patient with non-Hodgkin lymphoma reports their hands are rough and scaly:  Dermatomyositis.jpg  They also report weakness in their arms and legs. What is the paraneoplastic syndrome?	Card 1	2015-11-14	Palliative Care SCE
A man with bladder cancer reports he is tiring quickly when walking his dog. On examination, he is unable to lift his arms over his head. There is no rash. What is the likely paraneoplastic syndrome?	Card 1	2015-11-14	Palliative Care SCE
A patient who has a glucagonoma has this rash:  2994425_rt-2009-1-e6-g001.png  What is it?	Card 1	2015-11-14	Palliative Care SCE
A patient with stomach cancer reports her hands have changed texture. On examination, you see this:  m-h_photo_of_acanthosis_nigricans_tripe_palm.jpg  What is this called?	Card 1	2015-11-14	Palliative Care SCE
A stellate ganglion block is aimed at {{c1::C6/7/8}}, and is for {{c2::head and neck}} cancer	Cloze 2	2015-11-14	Palliative Care SCE
Rx of bone pain	Card 1	2015-11-15	Palliative Care SCE
What proportion of Ca pts suffer N+V?	Card 1	2015-11-15	Palliative Care SCE
CYCLIZINE method of action	Card 1	2015-11-15	Palliative Care SCE
Features of SVC obstruction	Card 1	2015-11-15	Palliative Care SCE
Medication for depression	Card 1	2015-11-15	Palliative Care SCE
According to NICE, the management of prostate cancer after gosrelin and bicalutamide is?	Card 1	2015-11-15	Palliative Care SCE
Do you need to dose reduce tranexemic acid in renal failure?	Card 1	2015-11-15	Palliative Care SCE
What is the 1 year mortality in NYFH class : a) 3 b) 4	Card 1	2015-11-15	Palliative Care SCE
Who inherits if there is no will?	Card 1	2015-11-15	Palliative Care SCE
What are the major categories of clinical governance?	Card 1	2015-11-15	Palliative Care SCE
In the NICE guidelines for constipation, when can prucalporide be used?	Card 1	2015-11-15	Palliative Care SCE
Who should a patient notify when they have oxygen installed at home?	Card 1	2015-11-15	Palliative Care SCE
In the Cochrane Review 'Bisphosphonates in multiple myeloma (2011)', what is the NNT for skeletal related events?	Card 1	2015-11-15	Palliative Care SCE
According to Cochrane Reviews, what is the level of evidence for combining drugs for chronic neuropathic pain in adults?	Card 1	2015-11-15	Palliative Care SCE
In Cochrane Reviews, what proportion of patients report slight weight gain with megesterol?	Card 1	2015-11-15	Palliative Care SCE
In Cochrane Reviews, what are the reported side effects from megesterol?	Card 1	2015-11-15	Palliative Care SCE
NNT for radioisotopes in bone pain?	Card 1	2015-11-15	Palliative Care SCE
What is the level of evidence for medically assisted nutrition?	Card 1	2015-11-15	Palliative Care SCE
What is the evidence for the efficacy of treating oral candidiasis for patients with cancer?	Card 1	2015-11-15	Palliative Care SCE
What is the level of evidence of the impact of opioids on conscious level, thirst and appetite?	Card 1	2015-11-15	Palliative Care SCE
If a person has a TIA/CVA, what is the effect on their licence to drive?	Card 1	2015-11-15	Palliative Care SCE
What is the marketing authorisation for targinact?	Card 1	2015-11-15	Palliative Care SCE
What is the mechanism of action of rivaroxaban?	Card 1	2015-11-15	Palliative Care SCE
In chemoptherapy-related alopecia, what can be used to reduce its incidence?	Card 1	2015-11-15	Palliative Care SCE
What are the side effects of LH blockers?	Card 1	2015-11-15	Palliative Care SCE
What are the effects of aromatase inhibitors (exemestane, anastrazole, letrozole)?	Card 1	2015-11-15	Palliative Care SCE
Avoid using {{c1::risperidone}} as an antipsychotic in Parkinson's disease as it has a high risk of {{c2::extrapyramidal side effects}}.	Cloze 1	2015-11-15	Palliative Care SCE
The best antiemetic in Parkinson's disease is {{c1::domperidone}} as it {{c2::does not cross the blood brain barrier}}, or {{c3::ondansetron/granisetron}}, or {{c4::anti-muscarinics}}.	Cloze 1	2015-11-15	Palliative Care SCE
In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are {{c1::2 or more relapses in 2 years}}, and who are {{c2::mobile >10m}}, but the disease is {{c3::not rapidly progressive}}.	Cloze 3	2015-11-15	Palliative Care SCE
In heart failure {{c1::very high levels of BNP}} is indicative of a {{c2::poor prognosis}}.	Cloze 2	2015-11-15	Palliative Care SCE
What are the indications for cardioresynchronsation therapy in heart failure?	Card 1	2015-11-15	Palliative Care SCE
In the context of COPD, do not treat cor pulmonale with {{c1::ACE-i, Ca-channel blockers or alpha-blockers}}.	Cloze 1	2015-11-15	Palliative Care SCE
Frank is dead.   His Eastern Cooperative Oncology Group score is {{c1::5}}.	Cloze 1	2015-11-15	Palliative Care SCE
{{c1::Phenoxypenicillin 500mg OD}}, or if penicillin-allergic, {{c2::erythromycin 250mg OD}} is used for prophalaxis in recurrent cellulitis in patients with lymphoedema.	Cloze 1	2015-11-15	Palliative Care SCE
Diamorphine is a schedule {{c1::2}} drug.	Cloze 1	2015-11-15	Palliative Care SCE
Cordotomy is good for patients with {{c1::pain in a hemi-quadrant}}, {{c2::pain more than a hands breadth away from the mid line}}, {{c3::pain below C4}}, and the patient's prognosis is {{c4::<2 years}}.	Cloze 4	2015-11-15	Palliative Care SCE
A {{c1::meta-analysis}} showed that BZDs and Z-drugs have an NNT of {{c2::13}}, and an NNH of {{c3::6}}.	Cloze 1	2015-11-15	Palliative Care SCE
A {{c1::meta-analysis}} showed that BZDs and Z-drugs have an NNT of {{c2::13}}, and an NNH of {{c3::6}}.	Cloze 3	2015-11-15	Palliative Care SCE
A {{c1::ganglion of impar block}} may help with pain from the {{c2::perineum, rectum and anus}}.	Cloze 1	2015-11-15	Palliative Care SCE
A {{c1::ganglion of impar block}} may help with pain from the {{c2::perineum, rectum and anus}}.	Cloze 2	2015-11-15	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~20000}} new {{c2::lung cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 1	2015-11-15	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::oesophageal cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 3	2015-11-15	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::lip/oral cavity/pharynx cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 1	2015-11-15	Palliative Care SCE
{{c1::Splanchnic nerve blocks}} may help with {{c2::upper gastrointestinal}} pain.	Cloze 2	2015-11-15	Palliative Care SCE
In autonomic dysreflexia, the patient may be {{c1::hypertensive, bradycardic and flushed}}.	Cloze 1	2015-11-15	Palliative Care SCE
{{c1::1:1000}} patients attempt suicide in the {{c2::6 months}} after starting antidepressants.	Cloze 2	2015-11-15	Palliative Care SCE
{{c1::Serotonin}} is involved with {{c2::platelet aggregation}}.	Cloze 2	2015-11-15	Palliative Care SCE
For pathological laughter and crying, second line treatment includes {{c1::amitriptyline or imipramine}} or {{c2::nortriptyline or levodopa}}.	Cloze 2	2015-11-15	Palliative Care SCE
If there is concurrent serious {{c1::medical morbidity}} with use of an NSAID, the risks of NSAID related upper GI complications are significantly increased.	Cloze 1	2015-11-15	Palliative Care SCE
Combination intravenous systemic anticancer therapy should be considered for patients with {{c1::SCLC}} over {{c2::70}} years of age with performance status {{c3::0-2}}.	Cloze 1	2015-11-15	Palliative Care SCE
Tramadol can {{c1::lower}} the seizure threshold, especially in combination with {{c2::SSRIs}}, {{c3::TCAs}} or {{c4::antipsychotics}}.	Cloze 4	2015-11-15	Palliative Care SCE
Both morphine-3-glucronide and morphine-6-glucronide are {{c1::renally}} excreted.	Cloze 1	2015-11-15	Palliative Care SCE
Morphine-3-glucronide is an {{c1::inactive}} metabolite.	Cloze 1	2015-11-15	Palliative Care SCE
The improvement in odour from topical metronidazole occurs within {{c1::2 days}}, but can take up to {{c2::1 month}}.	Cloze 1	2015-11-15	Palliative Care SCE
The signs of severe C. difficile infection are: {{c1::T >38.5}} {{c2::HR >100 BPM}} {{c3::WCC >15}} {{c4::Creatinine rising >50% above baseline}} {{c5::Clinical/Radiographical evidence of colitis}}	Cloze 4	2015-11-15	Palliative Care SCE
{{c1::Impotence}} can occur in {{c2::10-25%}} of men who take {{c3::megesterol acetate}}.	Cloze 3	2015-11-15	Palliative Care SCE
The adverse effects of megesterol acetate are {{c1::oedema}}, {{c2::VTE}} and {{c3::death}}.	Cloze 1	2015-11-15	Palliative Care SCE
The concurrent use of danazol (anabolic steroid) and a statin has been associated with: 1. {{c1::acute renal impairment}} 2. {{c2::pancreatitis}} 3. {{c3::Rhabomyolysis}}	Cloze 2	2015-11-15	Palliative Care SCE
With thalidomide, contraception should be used: 1. More than {{c1::4 weeks before}} starting treatment 2. {{c2::During treatment}} 3. {{c3::4 weeks after}} stopping treatment	Cloze 1	2015-11-15	Palliative Care SCE
{{c1::Substance P}} is released from {{c2::C-fibres}}.	Cloze 2	2015-11-15	Palliative Care SCE
What is the conversion from dihydrocodine to morphine?	Card 1	2015-11-15	Palliative Care SCE
What is the conversion from tramadol to morphine?	Card 1	2015-11-15	Palliative Care SCE
Central sleep apnoea is reported to occur in {{c1::30% of patients}} on {{c2::methadone maintainance}}.	Cloze 1	2015-11-15	Palliative Care SCE
What happens to the serum concentration of oxycodone when fluconazole is taken?	Card 1	2015-11-15	Palliative Care SCE
Acute dystonias are associated with {{c1::dopamine receptor antagonists}}.	Cloze 1	2015-11-15	Palliative Care SCE
The diagnosis of cancer-cachexia is any of the following: 1. Weight loss >{{c1::5}}% over the past {{c1::6}} months 2. BMI <{{c2::20}} and weight loss of >{{c2::2}}% 3. {{c3::Sarcopenia}} and weight loss >{{c4::2}}%	Cloze 1	2015-11-15	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 1	2015-11-15	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:   1. Patient's {{c1::name, address and date of birth}} 2. Destinations and dates of {{c2::outward}} and {{c2::return}} travel 3. {{c3::Names}}, {{c4::forms}}, {{c5::strengths}} {{c6::and total amounts}} of the drugs being carried.	Cloze 1	2015-11-15	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:   1. Patient's {{c1::name, address and date of birth}} 2. Destinations and dates of {{c2::outward}} and {{c2::return}} travel 3. {{c3::Names}}, {{c4::forms}}, {{c5::strengths}} {{c6::and total amounts}} of the drugs being carried.	Cloze 5	2015-11-15	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule {{c1::5}} drugs, a letter from the prescriber is {{c2::advised}}, but not {{c2::required}}.	Cloze 1	2015-11-15	Palliative Care SCE
In depression, what gender is a high risk for suicide?	Card 1	2015-11-15	Palliative Care SCE
If a a patient has a {{c2::personality}} disorder and {{c3::depressed}}, they are at {{c1::high}} risk for {{c4::suicide}}.	Cloze 3	2015-11-15	Palliative Care SCE
In depression, an adjustment reaction to a newly diagnosed physical illness, especially if it is painful, is a risk for {{c1::suicide}}.	Cloze 1	2015-11-15	Palliative Care SCE
A patient with pancreatic cancer shows his hands to you - what is it?  Dermatomyositis6.jpg	Card 1	2015-11-15	Palliative Care SCE
A patient with breast cancer tests positive for anti-Mi-2 antibodies. She has a facial rash. What is the diagnosis?	Card 1	2015-11-15	Palliative Care SCE
A patient with gastric carcinoma reports diarrhoea. On arrival to clinic, their face looks like this:  Flushingfig2_large.jpg  What is the likely paraneoplastic syndrome?	Card 1	2015-11-15	Palliative Care SCE
Paraneoplastic cerebellar degeneration is an {{c2::autoimmune}} reaction against CNS components, especially {{c1::Purkinjie}} cells.	Cloze 1	2015-11-15	Palliative Care SCE
A woman with pancreatic cancer presents with weight gain and hypertension. She reported facial changes. These are her facial appearences:  30701tn.jpg  What is the paraneoplastic syndrome?	Card 1	2015-11-15	Palliative Care SCE
{{c2::Psoas}} compartment blocks are for {{c1::hip pain}}	Cloze 1	2015-11-15	Palliative Care SCE
SEs of HALOPERIDOL	Card 1	2015-11-16	Palliative Care SCE
Other anti-emetics	Card 1	2015-11-16	Palliative Care SCE
Definition of malignant hypercalcaemia	Card 1	2015-11-16	Palliative Care SCE
What is the relative risk reduction?	Card 1	2015-11-16	Palliative Care SCE
What are the findings of the Acupuncture in cancer pain Cochrane review?	Card 1	2015-11-16	Palliative Care SCE
What are the phases of a clinical trial?	Card 1	2015-11-16	Palliative Care SCE
What other drugs have to be reduced in renal failure other than opioids?	Card 1	2015-11-16	Palliative Care SCE
Are pregabalin and gabapentin dialysed out?	Card 1	2015-11-16	Palliative Care SCE
What is the max dose of paracetamol in 24h in an eGFR less than 10?	Card 1	2015-11-16	Palliative Care SCE
What is the mode of action of tranexemic acid?	Card 1	2015-11-16	Palliative Care SCE
In the Cochrane review 'Interventions for the treatment of metastatic extradural spinal cord compression (2008)', what is the proportion of non-ambulant patients who regain mobility after radiotherapy?	Card 1	2015-11-16	Palliative Care SCE
NNH for radioisotopes in bone pain?	Card 1	2015-11-16	Palliative Care SCE
What is the evidence for the use of codeine or codeine + paracetamol in cancer pain?	Card 1	2015-11-16	Palliative Care SCE
What is the evidence for the use of antiepileptics in the treatments of seizures in adults with brain tumours?	Card 1	2015-11-16	Palliative Care SCE
What is the marketing authorisation for a granisetron patch?	Card 1	2015-11-16	Palliative Care SCE
Which chemotherapies is there an moderate risk of alopecia?	Card 1	2015-11-16	Palliative Care SCE
In which chemotherapies are there an high risk of vomiting?	Card 1	2015-11-16	Palliative Care SCE
Which chemotherapies is there a risk of Hand-Foot syndrome/Palma-plantar erythrodyesthesia?	Card 1	2015-11-16	Palliative Care SCE
Which chemotherapies have a risk of joint pain?	Card 1	2015-11-16	Palliative Care SCE
What are the side effects of herceptin?	Card 1	2015-11-16	Palliative Care SCE
{{c1::Thalamic/subthalamic stimulation}} is considered in Parkinson's patients whose symptoms are {{c2::refractory to best medical therapy}}, and are fit, with {{c3::no mental health problems}}.	Cloze 1	2015-11-16	Palliative Care SCE
In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are {{c1::2 or more relapses in 2 years}}, and who are {{c2::mobile >10m}}, but the disease is {{c3::not rapidly progressive}}.	Cloze 2	2015-11-16	Palliative Care SCE
Treatment for left ventricular failure is 1st line {{c1::ACE inhibitor or ARB if ACE-i intolerant}}.  2nd line {{c2::spironolactone}} (especially if {{c3::NYHF III/IV in the past month}}), {{c4::eplenerone}}, {{c5::ARB}}, if Afro-caribbean - {{c6::hydralazine}}. 3rd line {{c7::digoxin}} if refractory to 1st or 2nd line treatment, {{c8::cardioresynchronisation therapy}}.	Cloze 3	2015-11-16	Palliative Care SCE
What is the ABG criteria for starting LTOT in COPD?	Card 1	2015-11-16	Palliative Care SCE
Alice has an area of skin which appears to be an ulcer. There is partial thickness skin loss involving the epidermis and dermis.   She has a {{c1::Grade 2}} pressure ulcer.	Cloze 1	2015-11-16	Palliative Care SCE
The eGFR is caclulated by the {{c1::abbreviated Modification of Diet in Renal Disease equation}}.	Cloze 1	2015-11-16	Palliative Care SCE
It is a statutory requirement for NHS and Social care Caldecott Guardians to be {{c1::registered on the publicly available National Register of Caldecott Guardians}}. Other health and social organisations can be registered, but {{c2::this is optional}}.	Cloze 2	2015-11-16	Palliative Care SCE
According to the British Lymphology Society Concensus document, lymphangeictasia should be managed with {{c1::multi layer lymphoedema bandaging}}.	Cloze 1	2015-11-16	Palliative Care SCE
The cause of most cellulitis in lymphoedema is {{c1::Group A beta-haemolytic streptococcus}}.	Cloze 1	2015-11-16	Palliative Care SCE
If there is a history of animal bite in cellulitis where the patient has lymphoedema, then the first line antibiotic is {{c1::co-amoxiclav 625mg TDS}}. If penicillin-allergic, then {{c3::ciprofloxacin 500mg 12 hourly}}. For a second line, {{c2::discuss with a microbiologist}}	Cloze 2	2015-11-16	Palliative Care SCE
A {{c1::meta-analysis}} showed that BZDs and Z-drugs have an NNT of {{c2::13}}, and an NNH of {{c3::6}}.	Cloze 2	2015-11-16	Palliative Care SCE
Other than in patients with a very short life expectancy, {{c1:: small-bore chest tubes followed by pleurodesis}} are preferable to {{c2::recurrent aspiration}} in malignant pleural effusion.	Cloze 1	2015-11-16	Palliative Care SCE
Other than in patients with a very short life expectancy, {{c1:: small-bore chest tubes followed by pleurodesis}} are preferable to {{c2::recurrent aspiration}} in malignant pleural effusion.	Cloze 2	2015-11-16	Palliative Care SCE
Lambert-Eaton syndrome is a {{c1::paraneoplastic syndrome}}. It occurs when antibodies are formed against {{c2::presynaptic}} {{c3::calcium channels}}.	Cloze 1	2015-11-16	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~7000}} new {{c2::uterine cancer}} diagnoses registered in England, in 2012.	Cloze 1	2015-11-16	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6000}} new {{c2::melanoma}} diagnoses {{c3::in women and men}} registered in England, in 2012.	Cloze 3	2015-11-16	Palliative Care SCE
Doses of risperidone should be {{c1::reduced}} in {{c2::hepatic impairment}}.	Cloze 1	2015-11-16	Palliative Care SCE
{{c1::Glaucoma}} is an {{c2::absolute contraindication}} to using methlyphenidate.	Cloze 2	2015-11-16	Palliative Care SCE
Triptans such as {{c1::sumatriptan}} have clinically relevant serotoninergic activity.	Cloze 1	2015-11-16	Palliative Care SCE
Antidepressant discontinuation syndrome is least common in {{c1::fluoxetine}}.	Cloze 1	2015-11-16	Palliative Care SCE
In patients with superior vena cava obstruction due to SCLC, {{c1::systemic anti cancer therapy/radiotherapy is recommended}} as initial treatment, but {{c2::stenting may be considered}} for relapse or persistent superior vena cava obstruction.	Cloze 1	2015-11-16	Palliative Care SCE
Postmenopausal women who have breast cancer, who are already on tamoxifen, after {{c1::two to three}} years, can switch to an {{c2::aromatase inhibitor}} for a total of five years.	Cloze 1	2015-11-16	Palliative Care SCE
{{c1::Carboplatin}} is the platinum drug of choice in both single and combination therapy for ovarian cancer.	Cloze 1	2015-11-16	Palliative Care SCE
Methadone is a {{c1::mu}}-receptor antagonist, a presynaptic {{c2::serotonin reuptake inhibitor}}, and an {{c3::NMDA receptor antagonist}}.	Cloze 2	2015-11-16	Palliative Care SCE
The signs of severe C. difficile infection are: {{c1::T >38.5}} {{c2::HR >100 BPM}} {{c3::WCC >15}} {{c4::Creatinine rising >50% above baseline}} {{c5::Clinical/Radiographical evidence of colitis}}	Cloze 3	2015-11-16	Palliative Care SCE
NICE Guidelines suggest {{c1::bisphosphonates}} are given to men with prostate cancer who are receiving {{c2::androgen deprivation therapy}} who also have {{c3::osteoporosis}}.	Cloze 2	2015-11-16	Palliative Care SCE
Dexamethasone has a PO bioavailibility of {{c1::~80%}}.	Cloze 1	2015-11-16	Palliative Care SCE
{{c2::Octreotide}} inhibits {{c1::vascular endothelial growth}}.	Cloze 1	2015-11-16	Palliative Care SCE
{{c2::Octreotide}} reduces {{c1::salivary}} production.	Cloze 2	2015-11-16	Palliative Care SCE
A {{c1::pruritic and maculopapular}} rash may occur {{c2::10-14 days}} after starting {{c3::thalidomide}}.	Cloze 1	2015-11-16	Palliative Care SCE
Skin complications from thalidomide appear {{c2::more likely}} when combined with {{c1::corticosteroids}}.	Cloze 1	2015-11-16	Palliative Care SCE
With thalidomide, contraception should be used: 1. More than {{c1::4 weeks before}} starting treatment 2. {{c2::During treatment}} 3. {{c3::4 weeks after}} stopping treatment	Cloze 2	2015-11-16	Palliative Care SCE
Peripheral neuropathy is graded: 1. {{c1::No}} loss of function 2. {{c2::Interfering with}} function, but not with {{c2::activities of daily living}} 3. {{c3::Interfering}} with ADLs 4. {{c4::Disabling}}	Cloze 3	2015-11-16	Palliative Care SCE
How does capsacin work?	Card 1	2015-11-16	Palliative Care SCE
To treat acute akathisia caused by antipsychotics: 1. {{c1::Stop, switch or reduce}} the causative drug 2. Add {{c2::propranolol 10mg tds}} increasing every few days to 40mg tds max 3. Add a {{c3::BZD}} if the patient is very distressed	Cloze 1	2015-11-16	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule 2, 3, or 4 drugs, what else do they need to carry with them?	Card 1	2015-11-16	Palliative Care SCE
If a depressed patient has a history of {{c1::previous suicide attempts}} or {{c2::self harm}}, they are a {{c3::high}} risk for suicide.	Cloze 1	2015-11-16	Palliative Care SCE
In depression, a recent discharge from {{c1::inpatient psychiatric}} care is a risk for {{c2::suicide}}.	Cloze 2	2015-11-16	Palliative Care SCE
"A patient with limited small-cell lung cancer presents to the in-patient unit of a hospice. The family report that the patient has been confused, with new onset seizures. A recent MRI scan shows no brain metastatic disease, but ""hyperintensity of the temporal lobes on FLAIR"" . A blood test done in hospital showed:   - Anti-Hu antibody positive    On review, he appeared cognitively impaired, with short-term memory loss. He had paranoid thoughts, and reported auditory hallucinations.    What is the likely paraneoplastic syndrome?"	Card 1	2015-11-16	Palliative Care SCE
Other name for acrokeratosis paraneoplastica?	Card 1	2015-11-16	Palliative Care SCE
Dermatomyositis is a paraneoplastic disease which is associated with the following cancers: - {{c1::Lung}} - {{c2::Breast}} - {{c3::Ovarian}} - {{c4::pancreas}} - {{c5::stomach}} - {{c6::colorectal}} - {{c7::NHL}}	Cloze 5	2015-11-16	Palliative Care SCE
{{c2::Psoas}} compartment blocks are for {{c1::hip pain}}	Cloze 2	2015-11-16	Palliative Care SCE
What are the safe antipsychotics to use in parkinsons disease according to NICE?	Card 1	2015-11-16	Palliative Care SCE
What is Lymphangitis Carcinomatosa? How is it treated?	Card 1	2015-11-17	Palliative Care SCE
Definition of constipation	Card 1	(2015-11-17)	Palliative Care SCE
Causes of spinal cord compression	Card 1	2015-11-17	Palliative Care SCE
Mx of SVC obstruction	Card 1	2015-11-17	Palliative Care SCE
Features of delirium	Card 1	2015-11-17	Palliative Care SCE
What are the risk factors for venous thromboembolism?	Card 1	2015-11-17	Palliative Care SCE
What is loperamide's mode of action?	Card 1	2015-11-17	Palliative Care SCE
What information can be requested in a Data Protection Act request?	Card 1	2015-11-17	Palliative Care SCE
What is an ordinary power of attorney?	Card 1	2015-11-17	Palliative Care SCE
What is the survival benefit of dialysis of patients over 79?	Card 1	2015-11-17	Palliative Care SCE
At what eGFR is itch likely to develop?	Card 1	2015-11-17	Palliative Care SCE
Which is the safest antidepressant to use in epilepsy?	Card 1	2015-11-17	Palliative Care SCE
What supersedes an ARDT?	Card 1	2015-11-17	Palliative Care SCE
In the context of neurological disease and urinary incontinence, to whom should urodynamic studies should be offered according to NICE?	Card 1	2015-11-17	Palliative Care SCE
According to NICE, to whom should anti-muscarinic drugs be offered in urinary incontinence in the context of a neurological disorder?	Card 1	2015-11-17	Palliative Care SCE
What is the dose of adrenaline to give IM in anaphylaxis?	Card 1	2015-11-17	Palliative Care SCE
What is prucalporide?	Card 1	2015-11-17	Palliative Care SCE
