"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
What is the mode of action of denosumab?	Monoclonal antibody which binds to RANKL<div>Inhibits osteoclast formation/function/survival</div>
Do you need to monitor renal function with denosumab?	No, and no dose adjustment
What is the NICE guidance for the use of rivaroxaban?	- In VTE post hip/knee surgery<div>- Treatment of DVT and prophalaxis for recurrent VTE</div><div>- Alternative to warfarin in non-valvular AF with risk factors</div>
What is the mechanism of action of rivaroxaban?	Factor Xa inhibitor
What is the level of evidence for rivaroxaban?	RCT<div>When compared to LMWH - little evidence in a cancer population</div>
What is the marketing authorisation for aprepitant?	Prevention of acute and delayed chemotherapy-induced nausea and vomiting<div>Prevention of post-operative nausea and vomiting</div>
What is the mechanism of action of aprepitant?	Selective NK-1 receptor antagonist<div>Increases 5HT3 and dexamethasone activity</div>
What is the marketing authorisation for a granisetron patch?	Prevention of N/V associated with moderate-highly emetogentic chemotherapy, where orals are inappropriate
What is the mechanism of action of a gransetron patch?	Highly selective 5HT<sub>3 </sub>antagonist<div>Max concentration at 24-28 hours</div>
Which chemotherapies is alopecia commonly seen in?	<div>Common in:</div>- Epirubicin<div>- Docetaxel</div><div>- Doxorubicin</div><div>- Etoposide</div><div>- Paclitaxel</div><div><br /></div>
Which chemotherapies is there an moderate risk of alopecia?	Cyclophosphomide
In chemoptherapy-related alopecia, what can be used to reduce its incidence?	Cold caps<div>Can't be used in leukaemia/lymphoma</div>
In which chemotherapies are there an high risk of vomiting?	Cisplatin<div>Cyclophosphomide</div><div>Ifosdamide</div><div>Melphalan</div>
Which chemotherapies is there a risk of peripheral neuropathy?	Vincristin<div>Platinum-based agents</div><div>Taxanes</div><div>Thalidomide</div><div>Etoposide</div>
Which chemotherapies is there a risk of pulmonary side-effects?	"Bleomycin:<div>- 20% risk of pneumonitis</div><div>- increased chance with high-flow<span style=""font-size: 17px"">&nbsp;oxygen</span></div><div><br /></div><div><span style=""font-size: 17px;"">Methotrexate:</span></div><div><span style=""font-size: 17px;"">- reversible with steroids</span></div><div><span style=""font-size: 17px;""><br /></span></div><div><span style=""font-size: 17px;"">Busulphan, cyclophosphamide and fludaribine</span></div>"
Which chemotherapies is there a risk of reversible cardiomyopathy?	Trastuzamab (Herceptin):<div>- a <b>third</b>&nbsp;of patients can be affected by a reduction in LVEF</div><div>- stop if EF &lt;50%</div><div>- <b>mostly reversible</b> on stopping</div><div>- Oncologist should redecide if to restart</div><div><br /></div><div><br /></div>
Which chemotherapies are there a risk of irreversible cardiomyopathy?	<div>Anthracyclines (<b>doxorubicin, epirubicin, mitoxantrone</b>):</div><div>- can appear within a year of last Rx</div><div>- heart failure can occure within 10 years&nbsp;</div><div>- <b>Irreversible and dose-related</b></div><div>- 30% with high-dose doxorubicin</div>
Which chemotherapies is there a risk of Hand-Foot syndrome/Palma-plantar erythrodyesthesia?	Capecitabine<div>Fluorouracil</div><div>Doxorubicin</div>
Which chemotherapies have a risk of joint pain?	Docetaxel
What are the side effects of LH blockers?	In men (goserelin, buserelin):<div>- impotence</div><div>- Hot flushes/sweating</div><div>- Tumour flare at start to Rx</div><div>- joint pains</div><div><br /></div><div>In women (leuprorelin), in addtion to the above:</div><div>- menopausal symptoms</div>
What are the effects of anti-androgens such as bicalutamide?	- some impotence<div>- some flushes</div><div>- gynaecomastia/breast tenderness (Rx tamoxifen)</div><div>- hepatotoxicity</div>
What are the effects of anti-oestrogens like tamoxifen?	- menopausal symptoms<div>- reduced libido</div><div>- vaginal dryness</div><div>- increased risk of VTEs</div><div>- endometrial hyperplasia and increased risk of cancer</div>
What are the effects of aromatase inhibitors (exemestane, anastrazole, letrozole)?	- menopausal symptoms<br /><div>- increased fractures</div><div>- joint pain</div><div>- reduced libido</div><div>- nausea</div><div>- skin rashes</div>
When should aromatase inhibitors (exemestane, anastrazole, letrozole) be used?	<b>Post-menopausal</b> breast cancer
What is the mode of action of abiraterone?	Enzyme inhibitor which acts on all tissues producing testosterone to reduce circulating levels
What should abiraterone be taken with?	Prednisolone
What are the side effects of abiraterone?	Fluid retention<div>Hypertension</div><div>Fatigue</div><div>Hepatotoxicity</div>
When should herceptin be used?	HER+2 breast cancer<div>Gastric cancers</div>
What are the side effects of herceptin?	Flu-like reaction<div>One third have diarrhoea</div><div>Reversible cardiomyopathy</div>
What is the mode of action of gefitinib/erlotinib?	Tyrosine kinase inhibitor
What is the indication of gefitinib/erlotinib?	"<div>First line:</div>- EGFR +ve, locally advanced NSCLC<div><br /></div><div>Second line:</div><div>- E<span style=""font-family: 'Liberation Sans'"">rlotinib only</span></div><div><span style=""font-family: 'Liberation Sans';"">- EGFR -ve cancer post chemotherapy</span></div>"
What are the side effects of gefitinib/erlotinib?	Acneform rash<div>Diarrhoea</div><div>Abnormal LFTs</div>
Anti-parkinson's medications should not be withdrawn abruptly as this can lead to&nbsp;<span class=cloze>[...]</span>	Anti-parkinson's medications should not be withdrawn abruptly as this can lead to&nbsp;<span class=cloze>acute akinesia or neuroleptic malignant syndrome</span><br><br>
Apomorphine should be reserved for Parkinson's patients with&nbsp;<span class=cloze>[...]</span>	Apomorphine should be reserved for Parkinson's patients with&nbsp;<span class=cloze>severe motor complications refractory to medication</span><br><br>
<span class=cloze>[...]</span> can worsen autonomic dysfunction in Parkinson's disease, so&nbsp;SSRIs or mirtazapine are preferred instead.	<span class=cloze>Tricyclic antidepressants</span> can worsen autonomic dysfunction in Parkinson's disease, so&nbsp;SSRIs or mirtazapine are preferred instead.<br><br>
Tricyclic antidepressants can worsen autonomic dysfunction in Parkinson's disease, so&nbsp;<span class=cloze>[...]</span> instead.	Tricyclic antidepressants can worsen autonomic dysfunction in Parkinson's disease, so&nbsp;<span class=cloze>SSRIs or mirtazapine are preferred</span> instead.<br><br>
Avoid using <span class=cloze>[...]</span> as an antipsychotic in Parkinson's disease as it has a high risk of extrapyramidal side effects.	Avoid using <span class=cloze>risperidone</span> as an antipsychotic in Parkinson's disease as it has a high risk of extrapyramidal side effects.<br><br>
Avoid using risperidone as an antipsychotic in Parkinson's disease as it has a high risk of <span class=cloze>[...]</span>.	Avoid using risperidone as an antipsychotic in Parkinson's disease as it has a high risk of <span class=cloze>extrapyramidal side effects</span>.<br><br>
<span class=cloze>[...]</span> is considered in Parkinson's patients whose symptoms are&nbsp;refractory to best medical therapy, and are fit, with&nbsp;no mental health problems.	<span class=cloze>Thalamic/subthalamic stimulation</span> is considered in Parkinson's patients whose symptoms are&nbsp;refractory to best medical therapy, and are fit, with&nbsp;no mental health problems.<br><br>
Thalamic/subthalamic stimulation is considered in Parkinson's patients whose symptoms are&nbsp;<span class=cloze>[...]</span>, and are fit, with&nbsp;no mental health problems.	Thalamic/subthalamic stimulation is considered in Parkinson's patients whose symptoms are&nbsp;<span class=cloze>refractory to best medical therapy</span>, and are fit, with&nbsp;no mental health problems.<br><br>
Thalamic/subthalamic stimulation is considered in Parkinson's patients whose symptoms are&nbsp;refractory to best medical therapy, and are fit, with&nbsp;<span class=cloze>[...]</span>.	Thalamic/subthalamic stimulation is considered in Parkinson's patients whose symptoms are&nbsp;refractory to best medical therapy, and are fit, with&nbsp;<span class=cloze>no mental health problems</span>.<br><br>
In Parkinson's disease, <span class=cloze>[...]</span> are potentially triggered by&nbsp;anti-Parkinsonian medication, especially&nbsp;rotigitine and&nbsp;apomorphine.	In Parkinson's disease, <span class=cloze>Psychotic symptoms</span> are potentially triggered by&nbsp;anti-Parkinsonian medication, especially&nbsp;rotigitine and&nbsp;apomorphine.<br><br>
In Parkinson's disease, Psychotic symptoms are potentially triggered by&nbsp;<span class=cloze>[...]</span>, especially&nbsp;rotigitine and&nbsp;apomorphine.	In Parkinson's disease, Psychotic symptoms are potentially triggered by&nbsp;<span class=cloze>anti-Parkinsonian medication</span>, especially&nbsp;rotigitine and&nbsp;apomorphine.<br><br>
In Parkinson's disease, Psychotic symptoms are potentially triggered by&nbsp;anti-Parkinsonian medication, especially&nbsp;<span class=cloze>[...]</span> and&nbsp;apomorphine.	In Parkinson's disease, Psychotic symptoms are potentially triggered by&nbsp;anti-Parkinsonian medication, especially&nbsp;<span class=cloze>rotigitine</span> and&nbsp;apomorphine.<br><br>
In Parkinson's disease, Psychotic symptoms are potentially triggered by&nbsp;anti-Parkinsonian medication, especially&nbsp;rotigitine and&nbsp;<span class=cloze>[...]</span>.	In Parkinson's disease, Psychotic symptoms are potentially triggered by&nbsp;anti-Parkinsonian medication, especially&nbsp;rotigitine and&nbsp;<span class=cloze>apomorphine</span>.<br><br>
The best antiemetic in Parkinson's disease is&nbsp;<span class=cloze>[...]</span> as it&nbsp;does not cross the blood brain barrier, or ondansetron/granisetron, or anti-muscarinics.	The best antiemetic in Parkinson's disease is&nbsp;<span class=cloze>domperidone</span> as it&nbsp;does not cross the blood brain barrier, or ondansetron/granisetron, or anti-muscarinics.<br><br>
The best antiemetic in Parkinson's disease is&nbsp;domperidone as it&nbsp;<span class=cloze>[...]</span>, or ondansetron/granisetron, or anti-muscarinics.	The best antiemetic in Parkinson's disease is&nbsp;domperidone as it&nbsp;<span class=cloze>does not cross the blood brain barrier</span>, or ondansetron/granisetron, or anti-muscarinics.<br><br>
The best antiemetic in Parkinson's disease is&nbsp;domperidone as it&nbsp;does not cross the blood brain barrier, or <span class=cloze>[...]</span>, or anti-muscarinics.	The best antiemetic in Parkinson's disease is&nbsp;domperidone as it&nbsp;does not cross the blood brain barrier, or <span class=cloze>ondansetron/granisetron</span>, or anti-muscarinics.<br><br>
The best antiemetic in Parkinson's disease is&nbsp;domperidone as it&nbsp;does not cross the blood brain barrier, or ondansetron/granisetron, or <span class=cloze>[...]</span>.	The best antiemetic in Parkinson's disease is&nbsp;domperidone as it&nbsp;does not cross the blood brain barrier, or ondansetron/granisetron, or <span class=cloze>anti-muscarinics</span>.<br><br>
In an acute flare of MS&nbsp;<span class=cloze>[...]</span> is used for&nbsp;3-5 days.	In an acute flare of MS&nbsp;<span class=cloze>IV or PO methylprednisolone</span> is used for&nbsp;3-5 days.<br><br>
In an acute flare of MS&nbsp;IV or PO methylprednisolone is used for&nbsp;<span class=cloze>[...]</span>.	In an acute flare of MS&nbsp;IV or PO methylprednisolone is used for&nbsp;<span class=cloze>3-5 days</span>.<br><br>
In managing fatigue in MS,&nbsp;<span class=cloze>[...]</span> has some clinical effect.	In managing fatigue in MS,&nbsp;<span class=cloze>amantadine</span> has some clinical effect.<br><br>
In managing fatigue in MS,&nbsp;amantadine has <span class=cloze>[...]</span>.	In managing fatigue in MS,&nbsp;amantadine has <span class=cloze>some clinical effect</span>.<br><br>
For bladder dysfunction, UTIs should be&nbsp;<span class=cloze>[...]</span>, but there is&nbsp;no role for prophalactic antibiotics.&nbsp;	For bladder dysfunction, UTIs should be&nbsp;<span class=cloze>treated actively</span>, but there is&nbsp;no role for prophalactic antibiotics.&nbsp;<br><br>
For bladder dysfunction, UTIs should be&nbsp;treated actively, but there is&nbsp;<span class=cloze>[...]</span>.&nbsp;	For bladder dysfunction, UTIs should be&nbsp;treated actively, but there is&nbsp;<span class=cloze>no role for prophalactic antibiotics</span>.&nbsp;<br><br>
In MS for nocturia,&nbsp;<span class=cloze>[...]</span> can be used.	In MS for nocturia,&nbsp;<span class=cloze>desmopressin</span> can be used.<br><br>
In MS, if regualar medical therapies fail in urinary incontinence, consider a <span class=cloze>[...]</span>.	In MS, if regualar medical therapies fail in urinary incontinence, consider a <span class=cloze>long term cathether</span>.<br><br>
In MS for the management of spasicity, 1<sup>st </sup>line is&nbsp;<span class=cloze>[...]</span>, 2<sup>nd </sup>line is&nbsp;tizanadine, diazepam, clonazepam or dantrolene.	In MS for the management of spasicity, 1<sup>st </sup>line is&nbsp;<span class=cloze>baclofen or gabapentin</span>, 2<sup>nd </sup>line is&nbsp;tizanadine, diazepam, clonazepam or dantrolene.<br><br>
In MS for the management of spasicity, 1<sup>st </sup>line is&nbsp;baclofen or gabapentin, 2<sup>nd </sup>line is&nbsp;<span class=cloze>[...]</span>.	In MS for the management of spasicity, 1<sup>st </sup>line is&nbsp;baclofen or gabapentin, 2<sup>nd </sup>line is&nbsp;<span class=cloze>tizanadine, diazepam, clonazepam or dantrolene</span>.<br><br>
Baclofen withdrawal syndrome can include symptoms similar to&nbsp;<span class=cloze>[...]</span> and perceptual disturbance (hallucinations, delirium, confusion), in the context of abruptly stopping baclofen.	Baclofen withdrawal syndrome can include symptoms similar to&nbsp;<span class=cloze>neuroleptic malignant syndrome</span> and perceptual disturbance (hallucinations, delirium, confusion), in the context of abruptly stopping baclofen.<br><br>
Baclofen withdrawal syndrome can include symptoms similar to&nbsp;neuroleptic malignant syndrome and perceptual disturbance (hallucinations, delirium, confusion), in the context of <span class=cloze>[...]</span>.	Baclofen withdrawal syndrome can include symptoms similar to&nbsp;neuroleptic malignant syndrome and perceptual disturbance (hallucinations, delirium, confusion), in the context of <span class=cloze>abruptly stopping baclofen</span>.<br><br>
Baclofen withdrawal syndrome can include symptoms similar to&nbsp;neuroleptic malignant syndrome and <span class=cloze>[...]</span>, in the context of abruptly stopping baclofen.	Baclofen withdrawal syndrome can include symptoms similar to&nbsp;neuroleptic malignant syndrome and <span class=cloze>perceptual disturbance (hallucinations, delirium, confusion)</span>, in the context of abruptly stopping baclofen.<br><br>
When should PEG feeding be considered in MS?	Recurrent chest infections<div>Inadequate intake</div><div>Prolonged or distressed feeding times</div><div>NG tube in situ &gt;1 month</div>
In MS, beta-interferon/glatiramer is offered to patients with&nbsp;<span class=cloze>[...]</span>, with&nbsp;2 or more relapses in 2 years and who are&nbsp;mobile &gt;100m.	In MS, beta-interferon/glatiramer is offered to patients with&nbsp;<span class=cloze>relapsing/remitting disease</span>, with&nbsp;2 or more relapses in 2 years and who are&nbsp;mobile &gt;100m.<br><br>
In MS, beta-interferon/glatiramer is offered to patients with&nbsp;relapsing/remitting disease, with&nbsp;<span class=cloze>[...]</span> and who are&nbsp;mobile &gt;100m.	In MS, beta-interferon/glatiramer is offered to patients with&nbsp;relapsing/remitting disease, with&nbsp;<span class=cloze>2 or more relapses in 2 years</span> and who are&nbsp;mobile &gt;100m.<br><br>
In MS, beta-interferon/glatiramer is offered to patients with&nbsp;relapsing/remitting disease, with&nbsp;2 or more relapses in 2 years and who are&nbsp;<span class=cloze>[...]</span>.	In MS, beta-interferon/glatiramer is offered to patients with&nbsp;relapsing/remitting disease, with&nbsp;2 or more relapses in 2 years and who are&nbsp;<span class=cloze>mobile &gt;100m</span>.<br><br>
In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are&nbsp;<span class=cloze>[...]</span>, and who are&nbsp;mobile &gt;10m, but the disease is&nbsp;not rapidly progressive.	In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are&nbsp;<span class=cloze>2 or more relapses in 2 years</span>, and who are&nbsp;mobile &gt;10m, but the disease is&nbsp;not rapidly progressive.<br><br>
In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are&nbsp;2 or more relapses in 2 years, and who are&nbsp;<span class=cloze>[...]</span>, but the disease is&nbsp;not rapidly progressive.	In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are&nbsp;2 or more relapses in 2 years, and who are&nbsp;<span class=cloze>mobile &gt;10m</span>, but the disease is&nbsp;not rapidly progressive.<br><br>
In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are&nbsp;2 or more relapses in 2 years, and who are&nbsp;mobile &gt;10m, but the disease is&nbsp;<span class=cloze>[...]</span>.	In MS, beta-interferon/glatiramer is offered to patients with secondary progressive MS when there are&nbsp;2 or more relapses in 2 years, and who are&nbsp;mobile &gt;10m, but the disease is&nbsp;<span class=cloze>not rapidly progressive</span>.<br><br>
"<span style=""font-family: Arial"">In MS, beta-interferon/glatiramer is stopped when?</span>"	Intolerable side effects<div>Loss of ability to walk for 6 months</div><div>Rapid progression &gt;6 months</div><div>2 or more relapses in 1 year</div>
In heart failure&nbsp;<span class=cloze>[...]</span> is indicative of a&nbsp;poor prognosis.	In heart failure&nbsp;<span class=cloze>very high levels of BNP</span> is indicative of a&nbsp;poor prognosis.<br><br>
In heart failure&nbsp;very high levels of BNP is indicative of a&nbsp;<span class=cloze>[...]</span>.	In heart failure&nbsp;very high levels of BNP is indicative of a&nbsp;<span class=cloze>poor prognosis</span>.<br><br>
Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;<span class=cloze>[...]</span>.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div>	Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;<span class=cloze>ACE inhibitor or ARB if ACE-i intolerant</span>.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div><br><br>
Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;<span class=cloze>[...]</span> (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div>	Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;<span class=cloze>spironolactone</span> (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div><br><br>
Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;<span class=cloze>[...]</span>),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div>	Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;<span class=cloze>NYHF III/IV in the past month</span>),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div><br><br>
Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;<span class=cloze>[...]</span>,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div>	Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;<span class=cloze>eplenerone</span>,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div><br><br>
Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;<span class=cloze>[...]</span>, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div>	Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;<span class=cloze>ARB</span>, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div><br><br>
Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;<span class=cloze>[...]</span>.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div>	Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;<span class=cloze>hydralazine</span>.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div><br><br>
Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;<span class=cloze>[...]</span> if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div>	Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;<span class=cloze>digoxin</span> if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, cardioresynchronisation therapy.</div><br><br>
Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, <span class=cloze>[...]</span>.</div>	Treatment for left ventricular failure is 1<sup>st </sup>line&nbsp;ACE inhibitor or ARB if ACE-i intolerant.&nbsp;<div>2<sup>nd</sup>&nbsp;line&nbsp;spironolactone (especially if&nbsp;NYHF III/IV in the past month),&nbsp;eplenerone,&nbsp;ARB, if Afro-caribbean -&nbsp;hydralazine.</div><div>3<sup>rd </sup>line&nbsp;digoxin if refractory to 1<sup>st</sup>&nbsp;or 2<sup>nd</sup>&nbsp;line treatment, <span class=cloze>cardioresynchronisation therapy</span>.</div><br><br>
Which drugs in heart failure improve survival?	ACE-i<div>ARBs</div><div>Beta-blockers</div><div>Spironolactone</div>
Which drugs in heart failure improve symptoms?	Loop diuretics<div>Antiarhythmics</div><div>Antianginals</div>
Which drugs in heart failure improve long term prognosis?	Statins<div>Antihypertensives</div><div>Digoxin</div><div>Antiplatelets</div><div>Warfarin</div>
What are the indications for cardioresynchronsation therapy in heart failure?	NYHF III-IV<div>EF&lt;35%</div><div>Ventricular dysynchrony on ECHO or prolonged QRS (&gt;150ms)</div>
What are the indications for an ICD in heart failure?	Secondary prevention of VT/VF<div>EF &lt;35%/QRS &gt;120ms</div><div>Symptoms no worse than NYHF III</div><div>Congenital predisposition to arrhythmias/sudden death</div>
What drugs are to be avoided in heart failure?	Verapamil/diltiazem<div>Amitryptiline</div><div>NSAIDs</div><div>Cyclizine</div><div>Bulking agents for constipation</div><div>Steroids (fluid retention)</div>
In heart failure,&nbsp;<span class=cloze>[...]</span> should be used for acute gout,&nbsp;allopurinol to prevent acute gout.&nbsp;	In heart failure,&nbsp;<span class=cloze>colchicine</span> should be used for acute gout,&nbsp;allopurinol to prevent acute gout.&nbsp;<br><br>
In heart failure,&nbsp;colchicine should be used for acute gout,&nbsp;<span class=cloze>[...]</span> to prevent acute gout.&nbsp;	In heart failure,&nbsp;colchicine should be used for acute gout,&nbsp;<span class=cloze>allopurinol</span> to prevent acute gout.&nbsp;<br><br>
The EAPC document on depression in heart failure recommends&nbsp;<span class=cloze>[...]</span>,&nbsp;sertraline or&nbsp;mirtazapine.	The EAPC document on depression in heart failure recommends&nbsp;<span class=cloze>SSRIs</span>,&nbsp;sertraline or&nbsp;mirtazapine.<br><br>
The EAPC document on depression in heart failure recommends&nbsp;SSRIs,&nbsp;<span class=cloze>[...]</span> or&nbsp;mirtazapine.	The EAPC document on depression in heart failure recommends&nbsp;SSRIs,&nbsp;<span class=cloze>sertraline</span> or&nbsp;mirtazapine.<br><br>
The EAPC document on depression in heart failure recommends&nbsp;SSRIs,&nbsp;sertraline or&nbsp;<span class=cloze>[...]</span>.	The EAPC document on depression in heart failure recommends&nbsp;SSRIs,&nbsp;sertraline or&nbsp;<span class=cloze>mirtazapine</span>.<br><br>
In COPD, patients should be assessed for LTOT when their sats are <span class=cloze>[...]</span>, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;cyanosis,&nbsp;polycythaemia,&nbsp;peripheral oedema or&nbsp;raised JVP.	In COPD, patients should be assessed for LTOT when their sats are <span class=cloze>&lt;92%</span>, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;cyanosis,&nbsp;polycythaemia,&nbsp;peripheral oedema or&nbsp;raised JVP.<br><br>
